scheme_name,bse_benchmark,n_months,true_beta,proxy_beta,delta_beta,true_alpha_pct,proxy_alpha_pct,delta_alpha_pct
SBI BSE 100 ETF,BSE 100 TRI,36,0.9723,0.9832,0.011,-0.6173,-1.0937,-0.4764
LIC MF BSE Sensex ETF,BSE SENSEX TRI,36,0.9208,0.9503,0.0296,-0.0145,-2.0131,-1.9985
Aditya Birla Sun Life BSE Sensex ETF,BSE SENSEX TRI,36,0.9963,0.979,-0.0173,1.6245,-0.434,-2.0585
SBI BSE SENSEX ETF,BSE SENSEX TRI,36,0.9209,0.9506,0.0297,0.0475,-1.9527,-2.0002
UTI BSE Sensex ETF,BSE SENSEX TRI,36,0.9209,0.9506,0.0297,0.0554,-1.9451,-2.0004
BANDHAN BSE Sensex ETF,BSE SENSEX TRI,36,0.9186,0.9484,0.0297,-0.2677,-2.2577,-1.99
ICICI Prudential BSE 500 ETF,BSE 500 TRI,36,0.985,1.0076,0.0225,-1.7765,-2.4879,-0.7113
DSP BSE Sensex ETF,BSE SENSEX TRI,36,0.887,0.9157,0.0287,-2.5623,-4.4438,-1.8815
Nippon India ETF BSE Sensex,BSE SENSEX TRI,36,0.9206,0.9504,0.0298,0.0851,-1.9155,-2.0006
ICICI Prudential BSE Sensex ETF,BSE SENSEX TRI,36,0.921,0.9507,0.0297,0.0895,-1.9118,-2.0013
Mirae Asset BSE Sensex ETF,BSE SENSEX TRI,36,0.867,0.9104,0.0434,-2.468,-4.3495,-1.8815
Kotak BSE Sensex ETF,BSE SENSEX TRI,36,0.9201,0.9497,0.0296,-0.1061,-2.1018,-1.9957
Axis BSE Sensex ETF,BSE SENSEX TRI,36,0.9193,0.9489,0.0296,0.0164,-1.9797,-1.9962
